AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,PERIODO,TIPENC,FECENT,RESULT,PANEL,P22,P23,P24A,P24B,P25$1,P25$2,P25$3,P25$4,P25$5,P101,P102,P103,P103A,P104,P104A,P104B1,P104B2,P105A,P105B,P106,P106A,P106B,P107B1,P107C11,P107C12,P107C13,P107C14,P107C16,P107C17,P107C18,P107C19,P107C110,P107D1,P107B2,P107C21,P107C22,P107C23,P107C24,P107C26,P107C27,P107C28,P107C29,P107C210,P107D2,P107B3,P107C31,P107C32,P107C33,P107C34,P107C36,P107C37,P107C38,P107C39,P107C310,P107D3,P107B4,P107C41,P107C42,P107C43,P107C44,P107C46,P107C47,P107C48,P107C49,P107C410,P107D4,P107E,P110,P110A1,P110C,P110C1,P110C2,P110C3,P110D,P110E,P110F,P110G,P111A,P1121,P1123,P1124,P1125,P1126,P1127,P112A,P1131,P1132,P1133,P1135,P1136,P1139,P1137,P1138,P113A,P1141,P1142,P1143,P1144,P1145,P1171$01,P1171$02,P1171$03,P1171$04,P1171$05,P1171$06,P1171$07,P1171$08,P1171$09,P1171$10,P1171$11,P1171$12,P1171$13,P1171$14,P1171$15,P1171$16,P1172$01,P1172$02,P1172$03,P1172$04,P1172$05,P1172$06,P1172$07,P1172$08,P1172$09,P1172$10,P1172$11,P1172$12,P1172$13,P1172$14,P1172$15,P1172$16,P1173$01,P1173$02,P1173$03,P1173$04,P1173$05,P1173$06,P1173$07,P1173$08,P1173$09,P1173$10,P1173$11,P1173$12,P1173$13,P1173$14,P1173$15,P1173$16,P1174$01,P1174$02,P1174$03,P1174$04,P1174$05,P1174$06,P1174$07,P1174$08,P1174$09,P1174$10,P1174$11,P1174$12,P1174$13,P1174$14,P1174$15,P1174$16,P1175$01,P1175$02,P1175$03,P1175$04,P1175$05,P1175$06,P1175$07,P1175$08,P1175$09,P1175$10,P1175$11,P1175$12,P1175$13,P1175$14,P1175$15,P1175$16,P117T2,P117T3,P117T4,P200I,P600I,P600D1,P600M1,P600A1,P600D2,P600M2,P600A2,P612I1,P612I11,P612I2,P612I22,P700I,P710I,P800I,P110I,T110,D105B,D106,D107D1,D107D2,D107D3,D107D4,D1172$01,D1173$01,D1174$01,D1172$02,D1173$02,D1174$02,D1172$04,D1173$04,D1174$04,D1172$05,D1173$05,D1174$05,D1172$06,D1173$06,D1174$06,D1172$07,D1173$07,D1174$07,D1172$08,D1173$08,D1174$08,D1172$09,D1173$09,D1174$09,D1172$10,D1173$10,D1174$10,D1172$15,D1173$15,D1174$15,D1172$16,D1173$16,D1174$16,D612I11,D1172$11,D1173$11,D1174$11,D1172$12,D1173$12,D1174$12,D1172$13,D1173$13,D1174$13,D1172$14,D1173$14,D1174$14,D612I22,I105B,I106,I1172$01,I1172$02,I1172$04,I1172$05,I1172$06,I1172$07,I1172$08,I1172$09,I1172$10,I1172$11,I1172$12,I1172$13,I1172$14,I1172$15,I1172$16,I1173$01,I1174$01,I1173$02,I1174$02,I1173$04,I1174$04,I1173$05,I1174$05,I1173$06,I1174$06,I1173$07,I1174$07,I1173$08,I1174$08,I1173$09,I1174$09,I1173$10,I1174$10,I1173$11,I1174$11,I1173$12,I1174$12,I1173$13,I1174$13,I1173$14,I1174$14,I1173$15,I1174$15,I1173$16,I1174$16,T111A,NBI1,NBI2,NBI3,NBI4,NBI5,TICUEST01,TIPOCUESTIONARIO,TIPOENTREVISTA,FACTOR07,FACTOR_P,RECHAZO_RAZONES,NCONGLOME,SUB_CONGLOME,CODCCPP,NOMCCPP,LONGITUD,LATITUD,ALTITUD
2020,01,005009,012,11,010101,4,4,1,3,20200104,1,2,2, ,2,2,1,0,1,1,0,1,3,5,4,3,2,1,2,6, ,369, , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,24, , ,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1, ,0,1,0,1,0,1,1, ,0,0,0,0,0,0,0,0,1,0,1,0,0,23,40, , , , , , , , , ,40, ,20, , ,0,0, , , , , , , , , ,0, ,0, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,01,01,18,12,2019,01,01,2020,2, ,2, ,01,01,01,01,1, ,4444, , , , ,277,0, ,482,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,449,0, , , , ,224,0, , , ,4444,277,482, , , , , , , , ,449, ,224, , ,0, ,0, , , , , , , , , , , , , , , , , ,0, , , ,0, , , , , ,1,0,0,0,0,0,2,0,1,149.202743530273,186.594395685829, ,007076,00,0001,CIUDAD CHACHAPOYAS,-77.8612899780273,-6.22583484649658,2287
2020,01,005009,041,11,010101,4,4,1,3,20200106,1,1,1,010114,1,1,1,0,1,1,0,1,1,5,1,3,2,1,1,2, ,350,2, ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,24, , ,1,3,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,1,1, ,1,0,0,0,1,0,0,0,1,0,0,0,0,35,20, ,33, , , ,0, , , ,10, , , , ,0,0, ,0, , , ,0, , , ,0, , , , , , , ,0, , , ,0, , , , , , , , ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,98,0,0,01,01,22,12,2019,05,01,2020,2, ,2, ,01,01,01,01,1, ,4215, , , , ,422,0, ,241,0, ,397,0,0, , , , , , , , , ,0,0,0, , , , , , , , , , , , , , , , ,112,0, , , , , , , , , ,4215,422,241,397, , , ,0, , , ,112, , , , ,0, ,0, ,0,0, , , , , , ,0,0, , , , , , ,0, , , , , , , , , ,1,0,0,0,0,0,2,0,1,149.202743530273,186.594395685829, ,007076,00,0001,CIUDAD CHACHAPOYAS,-77.8612899780273,-6.22583484649658,2287
2020,01,005009,098,11,010101,4,4,1,3,20200103,1,1,2, ,2,3,0,1,0,1,0,4,1,5,1,3,3,3,3,1,300, , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,2,1,1,24, , ,1,1,1,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,1, ,1,0,0,0,0,0,0,0,1,0,1,0,0,20,20, ,35, , , , , , , ,120, ,20, , ,0,0, ,0, , , , , , , ,0, ,0, , , , , ,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,03,02,19,12,2019,02,01,2020,2, ,2, ,02,02,02,03,2,3613, , , , , ,241,0, ,241,0, ,422,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1346,0, , , , ,224,0, , ,3613, ,241,241,422, , , , , , , ,1346, ,224, , ,0, ,0, ,0,0, , , , , , , , , , , , , , ,0, , , ,0, , , , , ,2,0,0,0,0,0,2,0,1,149.202743530273,186.594395685829, ,007076,00,0001,CIUDAD CHACHAPOYAS,-77.8612899780273,-6.22583484649658,2287
2020,01,005015,007,11,010101,4,4,1,1,20200104,1, ,2, ,1,2,0,1,1,1,0,1,3,5,4,6,3,3,2,6, ,295, , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,24, , ,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,1,1,0,1,1, ,1,0,0,0,1,0,0,0,1,1,1,0,0,0,35, ,46, , , ,0, , , ,70,12,10, , ,20,0, ,0, , , ,0, , , ,0,0,0, , , , , ,0, , , ,0, , , , , , , , ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,173,20,0,01,01,20,12,2019,03,01,2020,2, ,2, ,01,01,01,01,1, ,3553, , , , ,0,241, ,422,0, ,554,0,0, , , , , , , , , ,0,0,0, , , , , , , , , , , , , , , , ,785,0, ,135,0, ,112,0, , , ,3553,0,422,554, , , ,0, , , ,785,135,112, , ,241, ,0, ,0,0, , , , , , ,0,0, , , , , , ,0, ,0, ,0, , , , , ,1,0,0,0,0,0,2,0,1,70.4925918579102,272.545637995675, ,007089,00,0001,CIUDAD CHACHAPOYAS,-77.8671646118164,-6.23140239715576,2361
2020,01,005015,019,11,010101,4,4,1,1,20200103,1, ,1,140101,1,1,1,0,1,1,0,1,3,5,3,8,2,1,1,2, ,369,1,1,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,24, , ,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,1,0,1,1, ,1,0,0,0,0,0,0,0,1,1,1,0,0,16,35, ,12, , , , , , , ,71,50,113, , ,0,0, ,0, , , , , , , ,0,0,0, , , , , ,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,01,01,19,12,2019,02,01,2020,2, ,2, ,01,01,01,01,1, ,4444, , , , ,193,0, ,422,0, ,145,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,796,0, ,561,0, ,1267,0, , , ,4444,193,422,145, , , , , , , ,796,561,1267, , ,0, ,0, ,0,0, , , , , , , , , , , , , , ,0, ,0, ,0, , , , , ,1,0,0,0,0,0,2,0,1,70.4925918579102,272.545637995675, ,007089,00,0001,CIUDAD CHACHAPOYAS,-77.8671646118164,-6.23140239715576,2361
2020,01,005015,070,11,010101,4,4,1,1,20200103,1, ,2, ,1,1,0,1,1,1,0,3,1,5,1,3,2,3,3,1,680, , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,24, , ,1,1,1,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,1,1,1,0,1,1, ,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0, ,24, , , , , , , ,89,13,149, , ,0,0, ,0, , , , , , , ,0,0,0, , , , , ,0, , , , , , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,02,02,19,12,2019,02,01,2020,2, ,2, ,02,02,02,02,1,8189, , , , , ,0,0, ,0,0, ,289,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,998,0, ,146,0, ,1671,0, , ,8189, ,0,0,289, , , , , , , ,998,146,1671, , ,0, ,0, ,0,0, , , , , , , , , , , , , , ,0, ,0, ,0, , , , , ,1,0,0,0,0,0,2,0,1,70.4925918579102,272.545637995675, ,007089,00,0001,CIUDAD CHACHAPOYAS,-77.8671646118164,-6.23140239715576,2361
2020,01,005015,085,11,010101,4,4,1,1,20200103,1, ,2, ,1,1,1,0,1,1,0,1,3,5,3,5,2,3,3,2, ,590,1,1,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,24, , ,2,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1, ,1,0,0,0,0,0,0,1,1,0,0,0,0,40,65, ,33, , , , , , ,12,21, , , , ,0,0, ,0, , , , , , ,0,0, , , , , , , ,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,01,02,19,12,2019,02,01,2020,2, ,2, ,02,02,02,01,1, ,7105, , , , ,482,0, ,783,0, ,397,0,0, , , , , , , , , , , , , , , , , , , , , , , , , ,135,0, ,236,0, , , , , , , , , ,7105,482,783,397, , , , , , ,135,236, , , , ,0, ,0, ,0,0, , , , , , , , , , , , ,0, ,0, , , , , , , , , ,1,0,0,0,0,0,2,0,1,70.4925918579102,272.545637995675, ,007089,00,0001,CIUDAD CHACHAPOYAS,-77.8671646118164,-6.23140239715576,2361
2020,01,005015,117,11,010101,4,4,1,1,20200103,1, ,2, ,3,1,1,0,1,1,0,3,3,5,4,4,2,1,2,2, ,443,1,1,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,24, , ,1,1,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,1, ,1,0,0,0,0,0,0,0,1,1,0,0,0,17,31, ,18, , , , , , , ,30,0, , , ,0,0, ,0, , , , , , , ,0,50, , , , , , ,0, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,50,0,01,01,19,12,2019,02,01,2020,2, ,2, ,01,01,01,01,1, ,5335, , , , ,205,0, ,373,0, ,217,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,336,0, ,0,561, , , , , , ,5335,205,373,217, , , , , , , ,336,0, , , ,0, ,0, ,0,0, , , , , , , , , , , , , , ,0, ,561, , , , , , , ,1,0,0,0,0,0,2,0,1,70.4925918579102,272.545637995675, ,007089,00,0001,CIUDAD CHACHAPOYAS,-77.8671646118164,-6.23140239715576,2361
2020,01,005032,014,11,010201,7,4,3,1,20200118,1, ,2, ,1,3,1,0,0,1,0,1,3,5,4,3,2,3,3,6, ,148, , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,4, , ,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1, ,0,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,0,0,18,40, , , , , , , , , ,40,30,10, , ,0,0, , , , , , , , , ,0,0,0, , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,02,02,03,01,2020,17,01,2020,2, ,2, ,02,02,02,02,1, ,1782, , , , ,217,0, ,482,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,449,0, ,336,0, ,112,0, , , ,1782,217,482, , , , , , , , ,449,336,112, , ,0, ,0, , , , , , , , , , , , , , , , , ,0, ,0, ,0, , , , , ,1,0,0,0,0,0,2,0,1,144.836364746094,313.805106113236, ,006624,00,0001,CIUDAD BAGUA,-78.5270538330078,-5.6363639831543,442
2020,01,005032,047,11,010201,7,4,3,1,20200118,2, ,2, ,2,2,0,1,0,1,0,1,3,5,4,2,1,2,2,2, ,111,2, ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,2,2, ,4,3,2,9,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,6,0,0,0,0,1,1,1, ,1,0,0,0,1,0,0,0,0,0,0,0,0,24,30, ,13, , , ,10, , , , , , , , ,0,0, ,0, , , ,30, , , , , , , , , , , ,0, , , ,0, , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,30,0,01,01,02,01,2020,16,01,2020,2, ,2, ,01,01,01,01,1, ,1337, , , , ,289,0, ,361,0, ,157,0,0, , , , , , , , , ,120,361,0, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1337,289,361,157, , , ,120, , , , , , , , ,0, ,0, ,0,0, , , , , , ,361,0, , , , , , , , , , , , , , , , ,1,0,0,0,0,0,2,0,1,144.836364746094,313.805106113236, ,006624,00,0001,CIUDAD BAGUA,-78.5270538330078,-5.6363639831543,442
