ITEM;FECHACORTE;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;TIPEQUI;ORIG;AREA;LOCAL;NOMEQUI;CP18;CP19;CP20;CP21;ESTADO;SO;APLDISGRA;APLARQ;APLOFI;PCPROC;PCPLAC;PCMODPLAC;PCRAM;PCDISC;PCTIPDISC;PCTARVID;MONMAR;MONMOD;MONCP19;MONCP20;MONCP21;TECMAR;TECMOD;TECCP19;TECCP20;TECCP21;BIT
1;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;SUB GERENCIA DE MANTENIMIENTO DE ORNATO PARQUES Y JARDINES;MAESTRANZA;MLORNATO01;;2036;0849;740899500086;OPERATIVO;WIN 7 ULT;;;OFFICE 2016;PENTIUM (R) DUAL-CORE CPU E5700 @ 3.00GHz (2CPUs), ~3.0GHz;INTEL;DG41WV;4;500;MECANICO;NO;HP;Compaq LE1711;;;740887700006;TEROS;TE-KM13;;;;
2;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;SUB GERENCIA DE MANTENIMIENTO DE ORNATO PARQUES Y JARDINES;MAESTRANZA;MLORNATO03;;;;740899500011;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE(TM) I5-3470 CPU @ 3.20GHz;LENOVO;3209CQ6;4;500;MECANICO;SI;AOC;E970Sw;2169;0543;740880370155;DELL;SK-8115;;4283;740895000324;
3;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;SUB GERENCIA DE MANTENIMIENTO DE ORNATO PARQUES Y JARDINES;MAESTRANZA;MLLOGISTICA11;;;4571;740899500249;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE(TM) I5-8400 CPU @ 2.80GHz (6 CPUs), ~2.8GHz;LENOVO;10TXS09K00;4;1000;MECANICO;NO;TEROS;TE-3020N;;;;LENOVO;SK-8825;;;740895000006;
4;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;MAESTRANZA;MAESTRANZA;MLPATRIMONIO10;;;;740899500231;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I7-9700 CPU @ 3.00GHz (8 CPUs), ~3.0GHz;HP;HP PRODESK 400 G6 SFF;8;1000;MECANICO;NO;HP;HP N223 MONITOR;;5453;740899500231;HP;KU-1469;;3381;740895000326;
5;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;GERENCIA DE PARTICIPACION CIUDADANA;AGENCIA;MLPCIU01;;;;740899599137;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I7-7700 CPU @ 3.60GHz (8 CPUs), ~3.6GHz;FUJITSU;ESPRIMO D556/2;8;1000;MECANICO;NO;LENOVO;THINK VISION T22I-10;3889;0102;740881870170;MICROSOFT;1576;3876;0310;740895000409;
6;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;GERENCIA DE PARTICIPACION CIUDADANA;AGENCIA;MLPCIU02;;;;;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I7-4770 CPU @ 3.40GHz (8 CPUs), ~3.4GHz;HEWLETT-PACKARD;HP ELITE DESK 800 G1SFF;8;1000;MECANICO;NO;HP;LV1911;;;;MICROSOFT;1576;3898;;;
7;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;GERENCIA DE PARTICIPACION CIUDADANA;AGENCIA;MLPARTICIPA01;;;;;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I7-4770 CPU @ 3.40GHz (8 CPUs), ~3.4GHz;HEWLETT-PACKARD;HP ELITE DESK 800 G1SFF;8;1000;MECANICO;NO;HP;LV1911;;;;DELL;KB522;;;;
8;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;SUB GERENCIA DE PROGRAMAS SOCIALES;AGENCIA;MLPROS01;1980;3668;2451;740899500373;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I3-4160 CPU @ 3.60GHz (4 CPUs), ~3.6GHz;ECS;B85H3-M;4;1000;MECANICO;NO;HP;V193;3660;1956;740880370006;MICROSOFT;1576;3670;2453;740895000122;
9;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL DE PROMOCION EMPRESARIAL DEL EMPLEO;AGENCIA;MLEMPLEOS04;1017;3510;5035;740899500177;OPERATIVO;WIN 7 ULT;;;OFFICE 2016;INTEL (R) PENTIUM (R) DUAL CPU E2180 @ - 2.00GHz (2 CPUs), ~2.0GHz;INTEL;DG41TY;2;250;MECANICO;NO;AOC;E970SW;3558;0790;740880370151;GENIUS;K639;3512;5037;740895000305;
10;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL PROGRAMA VASO DE LECHE (PVL);AGENCIA;MLPVL02;;;2423;740899500136;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I5-3470 CPU @ 3.20GHz;LENOVO;3209CQ6;4;500;MECANICO;SI;LENOVO;L197WA;;2426;740881870064;LENOVO;SK-8825;;2425;740895000087;
11;06/06/2023;LIMA;LIMA;LURIN;150119;LAPTOP;MUNICIPAL;UNIDAD FUNCIONAL PROGRAMA VASO DE LECHE (PVL);AGENCIA;MLPVL01;;;;740805000028;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I5-10210U CPU @ 1.60GHz (8 CPUs), ~2.1 GHz;DELL INC.;LATITUDE 5510;8;1000;MECANICO;NO;;;;;;;;;;;
12;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL PROGRAMA VASO DE LECHE (PVL);AGENCIA;MLPVL03;2100;;2415;740899500175;OPERATIVO;WIN 7 ULT;;;OFFICE 2016;INTEL (R) CORE (TM) DUO CPU E4500 @ 2.20GHz;INTEL;DG41TY;2;80;MECANICO;NO;SAMSUNG ;SYNCMASTER B2030;3311;;740881870078;MICROSOFT;1576;3304;2417;740895000124;
13;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL PROGRAMA DE COMPLEMENTACION ALIMENTARIA (PCA);AGENCIA;MLPCA02;;;2465;740899500135;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I5-8400 CPU @ 2.80GHz (6 CPUs), ~2.8GHz;LENOVO;10TXS09KP00;4;1000;MECANICO;NO;LENOVO;THINKVISION S22E-19;;2466;740880370065;LENOVO;SK-8827;;2467;740895000086;
14;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL DE CENTROS INTEGRALES DE ATENCION AL ADULTO MAYOR (CIAM);AGENCIA;MLCIAM01;;;;;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I7-4770 CPU @ 3.40GHz (8 CPUs), ~3.4GHz;HEWLETT-PACKARD;HP ELITE DESK 800 G1 SFF;8;1000;MECANICO;NO;HP;LV1911;;;;DELL;KB522;;;;
15;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL DE CENTROS INTEGRALES DE ATENCION AL ADULTO MAYOR (CIAM);AGENCIA;;1189;1235;1922;740899500151;INOPERATIVO;;;;;;;;;;MECANICO;NO;LG;19M37A - B;3328;1934;740880370135;BENQ;I100-P (HOTKEYS);1237;1924;740895000229;
16;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL SISTEMA DE FOCALIZACION DE HOGARES (SISFOH);AGENCIA;MLSISFOH03;;3263;2046;740899500352;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I3-4160 CPU @ 3.60GHz (4 CPUs), ~3.6GHz;ECS;B85H3-M;4;1000;MECANICO;NO;LG;20M47A-B;3262;2048;740880370092;MICROSOFT;1576;;;740895000126;
17;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL SISTEMA DE FOCALIZACION DE HOGARES (SISFOH);AGENCIA;MLSISFOH01;;;1661;740899500157;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I7-9700 CPU @ 3.00GHz (8 CPUs), ~3.0GHz;HP;HP ELITE DESK 400 G6SFF;8;1000;MECANICO;NO;HP;N223;;1660;740880370128;HP;KU-1469;;1664;740895000081;
18;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL SISTEMA DE FOCALIZACION DE HOGARES (SISFOH);AGENCIA;MLSISFOH02;;;;740899500147;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;INTEL (R) CORE (TM) I5-8400 CPU @ 2.80GHz 2.81GHz;LENOVO;I0TXS09K00;4;1000;MECANICO;No;LENOVO;THINK VISION S22E-19;;1963;740880370096;LENOVO;SK-8827;;1965;740895000088;
19;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;PROMOTORAS (GERENCIA DE PARTICIPACION CIUDADANA);AGENCIA;MLVECINAL01;;3882;0326;740899500350;OPERATIVO;WIN 7 ULT;;;OFFICE 2016;INTEL (R) CORE (TM) I3-4160 CPU @ 3.60GHz (4 CPUs), ~3.6GHz;MSI;MS-7817;4;500;MECANICO;NO;LG;20M45ASA;3883;0327;740880370066;;;;;;
20;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL DE OFICINA MUNICIPAL DE ATENCION A LAS PERSONAS CON DISCAPACIDAD (OMAPED);AGENCIA;;2095;3305;2082;740899500128;INOPERATIVO;WIN 7 ULT;;;;;;;;400;MECANICO;NO;LG;20M47A - B;;;;;;;;;
21;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;UNIDAD FUNCIONAL DE OFICINA MUNICIPAL DE ATENCION A LAS PERSONAS CON DISCAPACIDAD (OMAPED);AGENCIA;;1705;3271;4499;740899500404;INOPERATIVO;;;;;;;;;;MECANICO;NO;;;;;;;;;;;
22;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;PROCURADURIA PUBLICA MUNICIPAL;PALACIO;MLPROCURADOR01;;;;;OPERATIVO;WIN 7 ULT;;;OFFICE 2016;I3-4160  CPU  @3.60;ECS;B85H3-M;4;1000;MECANICO;NO;LENOVO;A1821SFS1;;0249;740880370318;LENOVO;SK8827;0872;0250;740895000083;
23;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;PROCURADURIA PUBLICA MUNICIPAL;PALACIO;MLPROCURADOR02;;0843;0349;740899500335;OPERATIVO;WIN 7 ULT;;;OFFICE 2016;I3-4160  CPU  @3.60;ECS;B85H3-M;4;500;MECANICO;NO;SAMSUNG;933BW;0844;0350;740881870110;MICROSOFT;1576;;;740895000193;
24;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;PROCURADURIA PUBLICA MUNICIPAL;PALACIO;MLPROCURADOR03;0778;0837;0253;740899500179;OPERATIVO;WIN 7 ULT;;;OFFICE 2016;DUAL-CORE CPU E5700 @ 3.60;INTEL;DG41WV;2;500;MECANICO;SI;LG;20M47A-B;0851;0423;740880370072;GENIUS;GK-100011;0852;0424;740895000073;
25;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;PROCURADURIA PUBLICA MUNICIPAL;PALACIO;MLPROCURADOR04;;;0422;740899500174;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;2 DUO  CPU  E7500  @ 2.93;INTEL;DG41TY;1;1000;MECANICO;NO;SAMSUG;B1930N;;0254;740881870145;GENIUS;KB-M200;0872;0255;740895000268;
26;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;PROCURADURIA PUBLICA MUNICIPAL;PALACIO;MLPROCURADOR05;;;0419;740899500156;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;I5-8400  CPU @ 2.80 ;LENOVO;10TXS09K00;8;1000;MECANICO;NO;LENOVO;A18215FS1;;0420;740880370319;MICROSOFT;1576;;;748895000113;
27;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;PROCURADURIA PUBLICA MUNICIPAL;PALACIO;MLPROCURADOR06;;;0248;740899500104;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;I5-8400  CPU @ 2.80 ;LENOVO;10TXS09K00;4;1000;MECANICO;SI;LG;20M47A-B;0871;0359;740880370082;LENOVO;SK8827;;0449;740895000084;
28;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;GERENCIA DE DESARROLLO ECONOMICO;PALACIO;MLECONOMICO02;2127;2517;0467;740899500374;OPERATIVO;WIN 7 ULT;;;OFFICE 2016;I3-4160  CPU  @3.60;ECS;B85H3-M;4;1000;MECANICO;NO;ADVANCE;ADV195TN;2516;0468;740877000004;HALION;KB-682M;;;;
29;06/06/2023;LIMA;LIMA;LURIN;150119;PC;MUNICIPAL;GERENCIA DE DESARROLLO ECONOMICO;PALACIO;MLECONOMICO03;;2528;0390;740899500004;OPERATIVO;WIN 10 PRO;;;OFFICE 2016;I5-6600 CPU @ 3.30;GIGABYTE TECHNOLOGY C.O;TO BY FILLED BY O.E.M;8;500;MECANICO;NO;DELL;E2020H;;;740880370159;FUJITSU;KB410K;2518;0470;740895000197;
