ITEM;FECHACORTE;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;CODMOD;NOM;NIVMOD;GESTDEP;DIREC;CANTALUM;CANTDOC;CANTAULAS
1;06/06/2023;LIMA;LIMA;LURÍN;150119;1115286;DE TECNICAS AGROPECUARIAS-INTAP;Superior Tecnologica;Particular;CALLE LOS EUCALIPTOS MZ L LOTE 13;104;9;12
2;06/06/2023;LIMA;LIMA;LURÍN;150119;1468164;PEDAGOGICO DE LIMA;Superior Pedagogica;Particular;JIRON UNION 615;;;
3;06/06/2023;LIMA;LIMA;LURÍN;150119;1468255;SAN JOSE DEL SUR;Superior Tecnologica;Particular;JIRON BOLIVAR S/N MZ G LOTE 38;95;22;16
4;06/06/2023;LIMA;LIMA;LURÍN;150119;0868992;JHON F.KENNEDY;Inicial - Cuna Jardin;Particular;JIRON UNION 615;28;3;3
5;06/06/2023;LIMA;LIMA;LURÍN;150119;0910448;JOSE CARLOS MARIATEGUI;Inicial - Cuna Jardin;Particular;LAS VIRREYNAS MZ E LOTE 7;60;3;3
6;06/06/2023;LIMA;LIMA;LURÍN;150119;0868869;665;Inicial - Jardin;Sector Educacion;AVENIDA LOS PINOS S/N MZ C LOTE 04;107;5;4
7;06/06/2023;LIMA;LIMA;LURÍN;150119;0777169;660 NIÑOS DE BELEN;Inicial - Jardin;Sector Educacion;AVENIDA 24 DE JUNIO;97;4;4
8;06/06/2023;LIMA;LIMA;LURÍN;150119;0777466;7104 RAMIRO PRIALE PRIALE;Inicial - Jardin;Sector Educacion;JIRON TRUJILLO S/N;98;4;4
9;06/06/2023;LIMA;LIMA;LURÍN;150119;1071885;JUAN ENRIQUE PESTALOZZI;Inicial - Jardin;Particular;AVENIDA LAS PALMAS MZ K LOTE 19 SECTOR 8;25;2;3
10;06/06/2023;LIMA;LIMA;LURÍN;150119;0868752;SANTA ROSA;Inicial - Jardin;Particular;PASAJE LOS OLIVOS MZ D LOTE 8 SECTOR 10;10;1;3
11;06/06/2023;LIMA;LIMA;LURÍN;150119;0868885;VIRGEN MILAGROSA;Inicial - Jardin;Particular;JIRON INDEPENDENCIA MZ 11B LOTE 4;;;
12;06/06/2023;LIMA;LIMA;LURÍN;150119;1055755;REYNA DE LOS ANGELES;Inicial - Jardin;Particular;MZ D LOTE 1;63;4;4
13;06/06/2023;LIMA;LIMA;LURÍN;150119;0868968;VIRGEN DE GUADALUPE;Inicial - Jardin;Particular;JIRON MOORE 446-B;31;2;3
14;06/06/2023;LIMA;LIMA;LURÍN;150119;0869123;LALITO;Inicial - Jardin;Particular;CALLE LOS OLIVOS 110 FUNDO QUINTILIANA;83;5;5
15;06/06/2023;LIMA;LIMA;LURÍN;150119;0742106;655;Inicial - Jardin;Sector Educacion;MZ N LOTE 01 ETAPA I;157;6;6
16;06/06/2023;LIMA;LIMA;LURÍN;150119;0762088;657 EMILIA BARCIA BONIFATTI;Inicial - Jardin;Sector Educacion;JIRON BOLIVAR S/N MZ H2 LOTE 5A;182;9;8
17;06/06/2023;LIMA;LIMA;LURÍN;150119;0742130;7104 RAMIRO PRIALE PRIALE;Secundaria;Sector Educacion;JIRON TRUJILLO S/N;154;8;5
18;06/06/2023;LIMA;LIMA;LURÍN;150119;0689968;7085 SANTA ROSA;Primaria;Sector Educacion;SANTA ROSA;288;10;10
19;06/06/2023;LIMA;LIMA;LURÍN;150119;0328054;6031 SANTA MARIA DE LURIN;Primaria;Sector Educacion;JIRON CASTILLA S/N;860;35;27
20;06/06/2023;LIMA;LIMA;LURÍN;150119;0542092;6154 MAYOR EP MARCO JARA SCHENONE;Primaria;Sector Educacion;CARRETERA ANTIGUA PANAMERICANA SUR KM 39;698;26;20
21;06/06/2023;LIMA;LIMA;LURÍN;150119;0333690;6026 VIRGEN DE FATIMA;Primaria;Sector Educacion;CALLE LOS ROSALES 305;796;27;23
22;06/06/2023;LIMA;LIMA;LURÍN;150119;0689976;7098 RODRIGO LARA BONILLA;Primaria;Sector Educacion;MZ O LOTE 1 ETAPA I;936;37;30
23;06/06/2023;LIMA;LIMA;LURÍN;150119;0869248;7098 RODRIGO LARA BONILLA;Secundaria;Sector Educacion;MZ O LOTE 1 ETAPA I;744;33;22
24;06/06/2023;LIMA;LIMA;LURÍN;150119;0705053;MIGUEL GRAU SEMINARIO;Secundaria;Sector Educacion;AVENIDA ANGAMOS LOS CLAVELES S/N;544;31;18
25;06/06/2023;LIMA;LIMA;LURÍN;150119;0869032;MIGUEL GRAU SEMINARIO;Primaria;Sector Educacion;AVENIDA ANGAMOS LOS CLAVELES S/N;503;20;16
26;06/06/2023;LIMA;LIMA;LURÍN;150119;0910562;7264 DR MANUEL MIGUEL VALLE Y VALLE;Primaria;Sector Educacion;AVENIDA 24 DE JUNIO;214;8;9
27;06/06/2023;LIMA;LIMA;LURÍN;150119;0583088;6023 JULIO C TELLO ROJAS;Secundaria;Sector Educacion;AVENIDA JACARANDA S/N SECTOR 5;671;37;22
28;06/06/2023;LIMA;LIMA;LURÍN;150119;0329060;6023 JULIO C TELLO ROJAS;Primaria;Sector Educacion;AVENIDA JACARANDA S/N SECTOR 5;534;23;19
29;06/06/2023;LIMA;LIMA;LURÍN;150119;0322891;7056 SAN MARTIN DE PORRES;Primaria;Sector Educacion;JIRON CASTILLA S/N;828;29;23
30;06/06/2023;LIMA;LIMA;LURÍN;150119;0328930;6008 JOSE ANTONIO DAPELO;Primaria;Sector Educacion;JIRON CASTILLA S/N;795;32;25
31;06/06/2023;LIMA;LIMA;LURÍN;150119;0328971;6012;Primaria;Sector Educacion;RINCONADA DE PURUHUAY;61;3;6
32;06/06/2023;LIMA;LIMA;LURÍN;150119;0910596;VIRGEN DE GUADALUPE;Primaria;Particular;JIRON MOORE 446-B;87;5;6
33;06/06/2023;LIMA;LIMA;LURÍN;150119;0329664;JOSE FAUSTINO SANCHEZ CARRION;Basica Alternativa - Avanzado;Sector Educacion;JIRON CASTILLA S/N;359;15;16
34;06/06/2023;LIMA;LIMA;LURÍN;150119;0604132;JOSE FAUSTINO SANCHEZ CARRION;Basica Alternativa - Inicial e Intermedio;Sector Educacion;JIRON CASTILLA S/N;68;2;6
35;06/06/2023;LIMA;LIMA;LURÍN;150119;0325613;JOSE FAUSTINO SANCHEZ CARRION;Secundaria;Sector Educacion;JIRON CASTILLA S/N;1418;78;45
36;06/06/2023;LIMA;LIMA;LURÍN;150119;0639765;7078 VIRGEN DE CHAPI;Primaria;Sector Educacion;AVENIDA RESERVORIO S/N MZ S;201;7;6
37;06/06/2023;LIMA;LIMA;LURÍN;150119;0869271;JHON F.KENNEDY;Secundaria;Particular;JIRON UNION 615;109;10;5
38;06/06/2023;LIMA;LIMA;LURÍN;150119;0869099;JHON F.KENNEDY;Primaria;Particular;JIRON UNION 615;115;7;6
39;06/06/2023;LIMA;LIMA;LURÍN;150119;0869297;JOSE CARLOS MARIATEGUI;Secundaria;Particular;LAS VIRREYNAS MZ E LOTE 7;263;19;12
40;06/06/2023;LIMA;LIMA;LURÍN;150119;0869107;JOSE CARLOS MARIATEGUI;Primaria;Particular;LAS VIRREYNAS MZ E LOTE 7;247;20;12
41;06/06/2023;LIMA;LIMA;LURÍN;150119;0324467;SAN PEDRO SANTISIMA TRINIDAD;Primaria;Comunidad o asociacion religiosa;FUNDO QUINTANILLA;571;36;24
42;06/06/2023;LIMA;LIMA;LURÍN;150119;0869206;SANTA ROSA;Primaria;Particular;PASAJE LOS OLIVOS MZ D LOTE 8 SECTOR 10;33;6;6
43;06/06/2023;LIMA;LIMA;LURÍN;150119;1069616;JUAN ENRIQUE PESTALOZZI;Primaria;Particular;AVENIDA LAS PALMAS MZ K LOTE 19 SECTOR 8;76;6;6
44;06/06/2023;LIMA;LIMA;LURÍN;150119;0502054;SAN PEDRO SANTISIMA TRINIDAD;Secundaria;Comunidad o asociacion religiosa;FUNDO QUINTANILLA;609;36;24
45;06/06/2023;LIMA;LIMA;LURÍN;150119;0689992;7104 RAMIRO PRIALE PRIALE;Primaria;Sector Educacion;JIRON TRUJILLO S/N;177;6;6
46;06/06/2023;LIMA;LIMA;LURÍN;150119;0869214;VIRGEN MILAGROSA;Primaria;Particular;JIRON INDEPENDENCIA MZ 11B LOTE 4;;;
47;06/06/2023;LIMA;LIMA;LURÍN;150119;0868935;LALITO;Primaria;Particular;CALLE LOS OLIVOS 110 FUNDO QUINTILIANA;371;14;14
48;06/06/2023;LIMA;LIMA;LURÍN;150119;0869156;EL SEMBRADOR;Primaria;Particular;CALLE PLAYA ARICA SECTOR 3;60;1;6
49;06/06/2023;LIMA;LIMA;LURÍN;150119;1055870;REYNA DE LOS ANGELES;Primaria;Particular;MZ D LOTE 1;120;10;7
50;06/06/2023;LIMA;LIMA;LURÍN;150119;0497230;LURIN;Basica Especial - Primaria;Sector Educacion;JIRON SAN PEDRO S/N MZ V LOTE 08;100;12;9
51;06/06/2023;LIMA;LIMA;LURÍN;150119;0468751;SANTISIMA TRINIDAD;Técnico Productiva;Comunidad o asociacion religiosa;JIRON SAN PEDRO 133;349;18;17
52;06/06/2023;LIMA;LIMA;LURÍN;150119;0707844;JOSE FAUSTINO SANCHEZ CARRION;Técnico Productiva;Sector Educacion;JIRON CASTILLA S/N;640;16;15
53;06/06/2023;LIMA;LIMA;LURÍN;150119;0868976;EL SEMBRADOR;Inicial - Jardin;Particular;CALLE PLAYA ARICA SECTOR 3;14;1;6
54;06/06/2023;LIMA;LIMA;LURÍN;150119;1053503;SAN PEDRO EL PESCADOR;Inicial - Cuna Jardin;Comunidad o asociacion religiosa;AVENIDA ALBERTO BUENO MZ C1 LOTE 23;96;4;4
55;06/06/2023;LIMA;LIMA;LURÍN;150119;0910778;JOSE MARIA ARGUEDAS;Secundaria;Particular;CALLE LOS OLIVOS 110;343;11;11
56;06/06/2023;LIMA;LIMA;LURÍN;150119;1242239;SAN PEDRO SANTISIMA TRINIDAD;Inicial - Jardin;Comunidad o asociacion religiosa;FUNDO QUINTANILLA;206;11;11
57;06/06/2023;LIMA;LIMA;LURÍN;150119;1197151;PRITE LURIN;Básica Especial;Sector Educacion;JIRON BOLIVAR S/N;49;4;4
