CPU_Description,CPU_Model,Core_Count,Base_Clock_Speed (GHz),Turbo_Boost_Frequency (GHz)
2 DUO  CPU  E7500  @ 2.93,INTEL CORE 2 DUO E7500,2,2.66,2.93
2D-CPU E7400@2.80,INTEL CORE 2 DUO E7400,2,2.8,2.8
2DUO -CPU E4500@220,INTEL CORE 2 DUO E4500,2,2,2.2
2DUO-CPU E6550@2.33,INTEL CORE 2 DUO E6550,2,2.33,3.33
2DUO-CPU T9400@2.53GHZ,INTEL CORE 2 DUO T9400,2,2.53,2.53
"AMD SEMPRON (TM) 140 PROCESSOR, ~2.7GHz",AMD SEMPRON 140,1,2.7,2.7
CORE 2 DUO E4500,INTEL CORE 2 DUO E4500,2,2,2.2
CORE I3-4160,INTEL I3-4160,2,3.6,3.6
CORE I3-8100,INTEL CORE I3-8100,4,3.6,3.6
CORE I3-9100 CPU 3.6,INTEL CORE I3-9100,4,3.6,4.2
CORE I5-8400,INTEL I5-8400,6,2.8,2.8
CORE I7-7700,INTEL CORE I7-7700,4,3.6,4.2
DUAL-CORE CPU E5700 @ 3.60,INTEL PENTIUM E5700,2,3,3
I3-2120 CPU@3.30,INTEL CORE I3-2120,2,3.3,3.3
I3-3240 CPU@3.40,INTEL CORE I3-3240,2,3.4,3.4
I3-4130CPU@3.40,INTEL CORE I3-4160,2,3.4,4
I3-4160  CPU  @3.60,INTEL I3-4160,2,3.6,3.6
I3-4160 CPU@3.60,INTEL I3-4160,2,3.6,3.6
I5-10400 CPU @ 2.90,INTEL I5-10400,6,2.9,4.3
I5-4660,INTEL I5-4660,4,3.2,3.4
I5-4690 CPU @3.50,INTEL I5-4690,4,3.5,3.9
I5-4690 CPU@3.50,INTEL I5-4690,4,3.5,3.9
I5-6600  CPU @3.30,INTEL I5-6600,4,3.3,3.9
I5-6600 CPU @ 3.30,INTEL I5-6600,4,3.3,3.9
I5-6600 CPU@3.30,INTEL I5-6600,4,3.3,3.9
I5-6600CPU@3.30GHZ,INTEL I5-6600,4,3.3,3.9
I5-7500 CPU@3.40,INTEL I5-7500,4,3.4,3.8
I5-7500 CPU@3.40GHZ,INTEL I5-7500,4,3.4,3.8
I5-8400  CPU @ 2.80,INTEL I5-8400,6,2.8,2.8
I5-8400 CPU @2.80GHZ,INTEL I5-8400,6,2.8,2.8
I5-8400 CPU@2.80,INTEL I5-8400,6,2.8,2.8
I5-8400 CPU@2.80GHZ,INTEL I5-8400,6,2.8,2.8
I7-4770 CPU@ 3.40,INTEL I7-4770 ,4,3.4,3.9
I7-4770 CPU@3.40,INTEL I7-4770 ,4,3.4,3.9
I7-4790 CPU@3.60,INTEL I7-4790,4,3.6,3.6
