YEAR,PERIOD,SEND DATE,ENTITY CODE,NATIONAL PROGRAM AGAINST FAMILY AND SEXUAL VIOLENCE,INTERVENTION LINE CODE,INTERVENTION LINE,SERVICE CODE,SERVICE NAME,LOCATION OF GEOGRAPHICAL LOCATION,DEPARTMENT,PROVINCE,DISTRICT,CODE,NAME,NUM_CA,NUM_CASES,NUM_CASES_MEN,NUM_CASES_18_25_MEN,NUM_CASES_18_29_MEN,NUM_CASES_26_35_MEN,NUM_CASES_36_45_MEN,NUM_CASES_46_59_MEN,NUM_CASES_30_59_MEN,NUM_CASES_60_A MORE_MEN,NUM_CUSTOM ACTIVITIES
2012,ENE - DIC,05/01/2013,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,CAI001,C.A.I. VILLA MARIA DEL TRIUNFO,1,66,66,1,,12,24,17,,12,"1,035"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,150105,LIMA METROPOLITANA,LIMA,BRE�A,CAI001,C.A.I. BRE�A,1,111,111,2,,20,42,34,,13,"3,071"
2013,ENE - DIC,05/01/2014,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,CAI002,C.A.I. CARMEN DE LA LEGUA REYNOSO,1,16,16,0,,3,8,4,,1,236
2014,ENE - DIC,10/01/2015,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,150105,LIMA METROPOLITANA,LIMA,BRE�A,CAI001,C.A.I. BRE�A,1,166,166,2,,34,52,57,,21,"8,007"
2014,ENE - DIC,10/01/2015,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,CAI002,C.A.I. CARMEN DE LA LEGUA REYNOSO,1,82,82,2,,22,32,20,,6,"2,391"
2015,ENE - DIC,11/01/2016,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,150105,LIMA METROPOLITANA,LIMA,BRE�A,CAI001,C.A.I. BRE�A,1,423,423,,32,88,146,126,,31,"10,182"
2015,ENE - DIC,11/01/2016,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,CAI002,C.A.I. CARMEN DE LA LEGUA REYNOSO,1,137,137,,7,33,46,31,,20,"5,212"
2015,ENE - DIC,11/01/2016,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,50101,AYACUCHO,HUAMANGA,AYACUCHO,CAI003,C.A.I. HUAMANGA,1,48,48,,10,13,10,14,,1,"1,865"
2016,ENE - DIC,13/12/2016,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,150105,LIMA METROPOLITANA,LIMA,BRE�A,CAI001,C.A.I. BRE�A,1,737,737,,106,,,,583,48,"14,799"
2016,ENE - DIC,13/12/2016,ENT001,PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL,LIN003,ATENCI�N INTEGRAL Y MULTIDISCIPLINARIA PARA AGRESORES SENTENCIADOS POR LOS JUZGADOS DE FAMILIA,SER002,CENTRO DE ATENCI�N INSTITUCIONAL,70103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,CAI002,C.A.I. CARMEN DE LA LEGUA REYNOSO,1,265,265,,24,,,,214,27,"6,330"
